employer_name,ats_platform,slug,score,tier,verified,verify_method,ats_url,medium_reason,board_name
"1047 GAMES, INC.",greenhouse,1047games,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/1047games,,
"10X GENOMICS, INC.",greenhouse,10xgenomics,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/10xgenomics,,
1910 GENETICS INC.,greenhouse,1910genetics,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/1910genetics,,
"4D MOLECULAR THERAPEUTICS, INC.",greenhouse,4dmoleculartherapeutics,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/4dmoleculartherapeutics,,
"A-ALPHA BIO, INC.",greenhouse,aalphabio,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/aalphabio,,
"ABACUS INSIGHTS, INC.",greenhouse,abacusinsights,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/abacusinsights,,
"ABATA THERAPEUTICS, INC.",greenhouse,abatatherapeutics,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/abatatherapeutics,,
"ABC LABS, LLC",greenhouse,abclabs,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/abclabs,,
"ABC LEGAL SERVICES, LLC",greenhouse,abclegalservices,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/abclegalservices,,
ABNORMAL SECURITY CORPORATION,greenhouse,abnormalsecurity,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/abnormalsecurity,,
"ABOVE LENDING, INC.",greenhouse,abovelending,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/abovelending,,
"ACCELERATION PARTNERS, LLC",greenhouse,accelerationpartners,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/accelerationpartners,,
"ACCESS SOFTEK, INC.",lever,accesssoftek,1.0,HIGH,True,heuristic,https://jobs.lever.co/accesssoftek,,
"ACCOMPANY HEALTH, INC.",lever,accompanyhealth,1.0,HIGH,True,heuristic,https://jobs.lever.co/accompanyhealth,,
ACCORDION PARTNERS LLC,greenhouse,accordionpartners,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/accordionpartners,,
ACHRONIX SEMICONDUCTOR CORPORATION,greenhouse,achronixsemiconductor,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/achronixsemiconductor,,
ACRYL DATA INC.,greenhouse,acryldata,1.0,HIGH,True,heuristic,https://boards.greenhouse.io/acryldata,,
